file,cortar_extremidades,pre_processamento,contaminacao,best_n_components,accuracy,start_index,end_index
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.1,12,0.93,40,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.14,11,0.93,30,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.09,16,0.91,80,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.03,13,0.95,60,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.15,12,0.87,90,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.18,9,0.71,30,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.17,13,0.71,60,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.12,6,0.51,0,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.13,18,0.88,10,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.01,15,0.96,0,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.03,17,0.95,50,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.03,13,0.95,60,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.14,17,0.93,40,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.06,16,0.92,80,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.14,9,0.59,80,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.15,14,0.91,90,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.17,15,0.71,60,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.13,15,0.88,90,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.09,16,0.94,10,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.13,15,0.95,0,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.07,12,0.88,30,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.01,13,0.95,50,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.09,16,0.94,10,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.14,17,0.93,40,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.15,8,0.93,80,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.06,15,0.94,90,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.13,17,0.91,110,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.17,5,0.64,80,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.17,16,0.9,10,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.19,11,0.92,30,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.15,8,0.93,80,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.13,17,0.91,110,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.07,16,0.63,80,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.13,14,0.93,20,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.08,17,0.91,30,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.12,10,0.53,50,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.1,13,0.94,30,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.07,13,0.93,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.1,12,0.94,30,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.15,14,0.84,80,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.13,14,0.93,20,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.14,13,0.93,20,140
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.13,12,0.91,30,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.19,11,0.89,110,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.08,16,0.91,30,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.07,16,0.63,80,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.12,10,0.53,50,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.1,17,0.87,10,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.01,13,0.94,70,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.1,12,0.94,30,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.11,15,0.89,10,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.13,16,0.92,20,140
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.02,13,0.9,60,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.13,12,0.91,30,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.08,16,0.91,30,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.19,11,0.89,110,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.1,17,0.87,10,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.15,14,0.84,80,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.07,16,0.63,80,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.02,17,0.91,0,110
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.1,10,0.89,100,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.01,1,0.36,0,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.19,10,0.89,40,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.13,16,0.92,20,140
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.16,14,0.93,50,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.01,17,0.9,20,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.02,10,0.83,0,110
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.09,1,0.43,110,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.19,9,0.87,10,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.07,9,0.9,110,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.07,11,0.94,50,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.15,14,0.84,80,210
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.01,1,0.36,0,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.07,17,0.96,50,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.16,12,0.95,50,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.01,17,0.9,20,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.07,12,0.93,0,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.07,15,0.95,80,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.15,18,0.87,0,110
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.01,1,0.36,0,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.11,15,0.88,0,130
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.07,11,0.91,70,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.07,11,0.94,50,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.16,14,0.93,50,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.18,8,0.95,60,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.07,17,0.94,0,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.07,16,0.94,20,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.03,12,0.96,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.15,18,0.87,0,110
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.18,16,0.67,0,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.2,14,0.91,70,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.09,12,0.89,40,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.19,14,0.96,60,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.19,8,0.93,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.03,13,0.94,60,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.04,16,0.56,60,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.07,17,0.94,0,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.07,16,0.94,20,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.11,18,0.9,50,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.2,11,0.92,70,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.01,1,0.37,10,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.09,11,0.93,0,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.03,13,0.94,60,180
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.1,17,0.92,0,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.19,9,0.96,20,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.07,9,0.94,40,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.2,11,0.92,70,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.11,12,0.87,50,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + msc,0.04,15,0.69,60,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.01,15,0.94,10,160
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.02,16,0.96,60,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.19,9,0.96,20,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.16,18,0.92,20,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.01,12,0.94,0,230
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + smo,0.01,17,0.92,0,170
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.2,11,0.92,70,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.11,12,0.87,50,220
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc,0.11,17,0.92,30,150
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.17,13,0.96,20,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + snv,0.17,13,0.96,20,190
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d1,0.19,9,0.96,20,200
/home/barbon/Python/AutoSpectraEngine/auto_spectra_engine/datasets/NIR1.csv,False,mc + d2,0.01,14,0.89,0,150
